text,label,phishing_type,severity,confidence
"Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Avery Kim",0,legitimate,low,0.95
"Hello, your profile has been locked. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Sincerely,
Riley Khan",1,credential_harvesting,high,0.89
"Hi there, congratulations! You are the winner of a refund. To collect your gift of $10,000, please provide your credit card to process the sum. This offer is available today only.

Security Team,
Alex Khan",1,financial_scam,medium,0.69
"Attention, this is the fraud prevention accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Compliance Team,
Alex Martinez",1,authority_scam,high,0.91
"Notice, your profile has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

IT Desk,
Sam Singh",1,credential_harvesting,high,0.8
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Support Desk,
Jamie Khan",1,urgency,medium,0.74
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Let me know if the timing works for you.

Best,
Alex Khan",0,legitimate,low,0.95
"Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",0,legitimate,low,0.99
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Let me know if the timing works for you.

Best,
Taylor Wong",0,legitimate,low,0.98
"Attention, your account has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Sincerely,
Riley Lee",1,credential_harvesting,high,0.88
"Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Sam Martinez",0,legitimate,low,0.97
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Regards,
Jordan Patel",1,credential_harvesting,high,0.85
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Regards,
Alex Khan",1,romance_dating,medium,0.92
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Support Desk,
Cameron Singh",1,romance_dating,medium,0.74
"Hello, congratulations! You are the winner of a prize. To collect your payment of ₹80,000, please provide your credit card to process the total. This offer is available today only.

Account Services,
Avery Garcia",1,financial_scam,high,0.77
"Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Feel free to add notes before we meet.

Best,
Avery Brown",0,legitimate,low,0.97
"Hello, your account has been suspended. Use the secure link to update password and restore access. Enter your verification code to continue.

IT Desk,
Taylor Brown",1,credential_harvesting,high,0.89
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Regards,
Jordan Nguyen",1,romance_dating,medium,0.86
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Jamie Patel",0,legitimate,low,0.96
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Security Team,
Jordan Khan",1,urgency,high,0.84
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Security Team,
Sam Wong",1,generic_phishing,medium,0.77
"Notice, final warning. Failure to respond will block your account. Immediate action is required to avoid fine. Your case will be referred to the judge if unresolved.

Account Services,
Jordan Garcia",1,threats,high,0.85
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Riley Singh",0,legitimate,low,0.97
"Thanks for attending the workshop. Here are links to references and the slide deck.

I'll share the slides later today.

Best,
Cameron Lee",0,legitimate,low,1.0
"Dear customer, this is an while supplies last notice regarding your account. Your access will be limited within 24 hours. To avoid interruption, complete the form now. This offer is time sensitive and expires midnight. Follow the instructions immediately.

Support Desk,
Casey Wong",1,urgency,high,0.89
"Dear user, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Regards,
Riley Wong",1,urgency,high,0.86
"Sharing the revised documentation with examples. The new endpoints are described in section two.

Let me know if the timing works for you.

Best,
Alex Brown",0,legitimate,low,0.99
"Dear user, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Compliance Team,
Sam Singh",1,tech_support,high,0.93
"Dear user, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Security Team,
Taylor Brown",1,social_engineering_advanced,high,0.95
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Avery Kim",0,legitimate,low,0.99
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Appreciate your feedback on this draft.

Best,
Avery Martinez",0,legitimate,low,1.0
"Attention, this is the irs compliance team. There are security concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a hold.

Sincerely,
Jordan Lee",1,authority_scam,high,0.89
"Attaching the draft proposal. Feedback by Friday would be appreciated so we can finalize for the client.

Feel free to add notes before we meet.

Best,
Avery Patel",0,legitimate,low,1.0
"Dear customer, this is the immigration accounts team. There are policy concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Security Team,
Sam Khan",1,authority_scam,high,0.86
"Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Casey Khan",0,legitimate,low,0.99
"Dear user, your login has been restricted. Use the secure link to reset password and restore access. Enter your verification code to continue.

Account Services,
Jordan Nguyen",1,credential_harvesting,high,0.8
"Quick reminder about the training session tomorrow. The materials are in the shared drive.

Feel free to add notes before we meet.

Best,
Taylor Khan",0,legitimate,low,1.0
"Dear customer, this is an 48 hours notice regarding your account. Your access will expire today. To avoid interruption, act now. This offer is last chance and ends soon. Follow the instructions immediately.

Support Desk,
Riley Lee",1,urgency,medium,0.89
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Feel free to add notes before we meet.

Best,
Casey Garcia",0,legitimate,low,0.97
"Sharing the revised documentation with examples. The endpoints are described in section two.

Feel free to add notes before we meet.

Best,
Morgan Nguyen",0,legitimate,low,0.99
"Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Riley Singh",0,legitimate,low,0.98
"I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Feel free to add notes before we meet.

Best,
Cameron Singh",0,legitimate,low,0.99
"Notice, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Regards,
Casey Nguyen",1,tech_support,high,0.93
"Sharing the revised documentation with examples. The new endpoints are described in section two.

Let me know if the timing works for you.

Best,
Riley Patel",0,legitimate,low,0.98
"Thanks for attending the workshop. Here are links to references and the slide deck.

Let me know if the timing works for you.

Best,
Sam Khan",0,legitimate,low,1.0
"Sharing the revised documentation with examples. The new endpoints are described in section two.

Let me know if the timing works for you.

Best,
Avery Singh",0,legitimate,low,0.95
"Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Sam Singh",0,legitimate,low,0.97
"Account holder, your profile has been restricted. Use the secure link to update password and restore access. Enter your verification code to continue.

Regards,
Riley Patel",1,credential_harvesting,high,0.89
